ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
290	ProtoPurus	Capuchin monkey	*tsikutɨ	tsikutɨ	ts i k u t ɨ	1
291	Inapari	Capuchin monkey	tiʔuʧí 	tiʔuʧí	t i ʔ u tʃ í/i	1
292	Apurina	Capuchin monkey	ʧikotɨ 	ʧikotɨ	tʃ i k o t ɨ	1
293	Yine	Capuchin monkey	ʧkotɨ 	ʧkotɨ	tʃ k o t ɨ	1
445	ProtoPurus	Coca	*katsuparɨ	katsuparɨ	k a ts u p a r ɨ	6
446	Inapari	Coca	atuparí 	atuparí	a t u p a r í/i	6
447	Apurina	Coca	katsuparɨ 	katsuparɨ	k a ts u p a r ɨ	6
442	ProtoPurus	Leaf	*ka-sɨre-rɨ	ka-sɨre-rɨ	k a + s ɨ r e + r ɨ	11 12 13
443	Inapari	Leaf	aɨreri 	aɨreri	a ɨ r e r i	10
444	Yine	Leaf	hi-sɨre / ka-sɨre-rɨ 	hi-sɨre	h i + s ɨ r e	14 12
73	ProtoPurus	Veins	*-kutsa	kutsa	k u ts a	17
74	Inapari	Veins	uta-tí 	uta-tí	u t a + t í/i	17 18
75	Apurina	Veins	-kotsa 	-kotsa	k o ts a	17
76	Yine	Veins	hi-kotsa 	hi-kotsa	h i + k o ts a	19 17
673	ProtoPurus	above	*teno	teno	t e n o	24
674	Inapari	above	téno 	téno	t é/e n o	24
675	Yine	above	teno 	teno	t e n o	24
728	ProtoPurus	absolute	*-tsi	tsi	ts i	28
729	Inapari	absolute	-ti 	-ti	t i	28
730	Apurina	absolute	-ʧi 	-ʧi	tʃ i	28
731	Yine	absolute	-ʧi 	-ʧi	tʃ i	28
467	ProtoPurus	achiote	*hapɨkɨrɨ	hapɨkɨrɨ	h a p ɨ k ɨ r ɨ	33
468	Inapari	achiote	hapísíri 	hapísíri	h a p í/i s í/i r i	33
469	Apurina	achiote	ãpɨkɨrɨ 	ãpɨkɨrɨ	ã p ɨ k ɨ r ɨ	33
470	Yine	achiote	hapiçrɨ 	hapiçrɨ	h a p i ç r ɨ	33
720	ProtoPurus	adjectivizer	*pO-	pO	p O/o	38
721	Inapari	adjectivizer	*po-/*pu- 	*po-	p o	38
722	Apurina	adjectivizer	*po- 	*po-	p o	38
723	Yine	adjectivizer	po- 	po-	p o	38
267	ProtoPurus	agouti	*pekiri	pekiri	p e k i r i	43
268	Inapari	agouti	pehirí 	pehirí	p e h i r í/i	43
269	Apurina	agouti	pekiri 	pekiri	p e k i r i	43
270	Yine	agouti	peçri 	peçri	p e ç r i	43
308	ProtoPurus	alligator	*kajukɨrɨ	kajukɨrɨ	k a j u k ɨ r ɨ	48
309	Inapari	alligator	ajúhɨrɨ 	ajúhɨrɨ	a j ú/u h ɨ r ɨ	48
310	Apurina	alligator	kajukɨrɨ 	kajukɨrɨ	k a j u k ɨ r ɨ	48
311	Yine	alligator	kʃijoçrɨ 	kʃijoçrɨ	k ʃ i j o ç r ɨ	48
316	ProtoPurus	ant	*katsitɨ	katsitɨ	k a ts i t ɨ	53
317	Inapari	ant	atíʧi 	atíʧi	a t í/i tʃ i	53
318	Apurina	ant	kaʧitɨ 	kaʧitɨ	k a tʃ i t ɨ	53
319	Yine	ant	kaʧiʧi 	kaʧiʧi	k a tʃ i tʃ i	53
283	ProtoPurus	anteater	*sɨwa	sɨwa	s ɨ w a	58
284	Inapari	anteater	hɨwá 	hɨwá	h ɨ w á/a	58
285	Yine	anteater	sɨwa 	sɨwa	s ɨ w a	58
96	ProtoPurus	arm	*-kano	kano	k a n o	62
97	Inapari	arm	ano-he-tí 	ano-he-tí	a n o + h e + t í/i	62 63 64
98	Apurina	arm	-kano 	-kano	k a n o	62
99	Yine	arm	-kano 	-kano	k a n o	62
168	ProtoPurus	arrow	*kasiri	kasiri	k a s i r i	69
169	Inapari	arrow	haári	haári	h a á/a r i	69
170	Yine	arrow	kaʃri 	kaʃri	k a ʃ r i	69
45	ProtoPurus	back	*-takɨ	takɨ	t a k ɨ	73
46	Inapari	back	ʧahɨ́-ti 	ʧahɨ́-ti	tʃ a h ɨ́/ɨ + t i	73 74
47	Yine	back	hi-tçi 	hi-tçi	h i + t ç i	73 74
381	ProtoPurus	bat	*siju	siju	s i j u	79
382	Inapari	bat	hijú-hɨ 	hijú-hɨ	h i j ú/u + h ɨ	79 81
383	Apurina	bat	ʃijo-kɨ 	ʃijo-kɨ	ʃ i j o + k ɨ	79 80
384	Yine	bat	ʃjo 	ʃjo	ʃ j o	79
29	ProtoPurus	beard	*-sia-potu	sia-potu	s i a + p o t u	88 86
